image,annotations__label,annotations__coordinates__x,annotations__coordinates__y,annotations__coordinates__width,annotations__coordinates__height
,No issues,3548,1492,514,699
,No issues,4053,1292,514,699
,No issues,4322,1189,514,699
,No issues,4592,1071,514,699
,No issues,4852,968,514,699
,No issues,5124,859,514,699
,No issues,5430,741,514,699
,No issues,2301,1970,454,659
,No issues,2072,2041,454,659
,No issues,1851,2131,454,659
,No issues,1603,2198,454,659
,No issues,1382,2277,454,659
,No issues,1170,2378,441,636
,No issues,968,2439,441,636
,No issues,736,2515,441,636
,No issues,516,2586,441,636
,No issues,329,2635,441,636
,No issues,115,2718,443,610
150915h.JPG,No issues,1699,1394,514,699
,Broken,2624,1628,567,794
,Broken,0,553,5908,2851
,No issues,1937,1492,514,699
,No issues,1432,1292,514,699
,No issues,1163,1189,514,699
,No issues,893,1071,514,699
,No issues,633,968,514,699
,No issues,361,859,514,699
,No issues,55,741,514,699
,No issues,3244,1970,454,659
,No issues,3473,2041,454,659
,No issues,3694,2131,454,659
,No issues,3942,2198,454,659
,No issues,4163,2277,454,659
,No issues,4388,2378,441,636
,No issues,4590,2439,441,636
,No issues,4822,2515,441,636
,No issues,5042,2586,441,636
,No issues,5229,2635,441,636
,No issues,5441,2718,443,610
150915d.JPG,No issues,1699,1906,514,699
,Broken,2624,1577,567,794
,Broken,0,595,5908,2851
,No issues,1937,1808,514,699
,No issues,1432,2008,514,699
,No issues,1163,2111,514,699
,No issues,893,2229,514,699
,No issues,633,2332,514,699
,No issues,361,2441,514,699
,No issues,55,2559,514,699
,No issues,3244,1370,454,659
,No issues,3473,1299,454,659
,No issues,3694,1209,454,659
,No issues,3942,1142,454,659
,No issues,4163,1063,454,659
,No issues,4388,985,441,636
,No issues,4590,924,441,636
,No issues,4822,848,441,636
,No issues,5042,777,441,636
,No issues,5229,728,441,636
,No issues,5441,671,443,610
160454.JPG,No issues,2215,467,762,387
,Broken,2198,1511,745,369
,Broken,2143,1,911,2605
,No issues,2170,2179,737,385
,No issues,2198,1144,762,387
,No issues,2230,102,762,387
,No issues,2205,827,762,387
,No issues,2184,1872,730,340
160454h.JPG,No issues,1534,467,762,387
,Broken,1568,1511,745,369
,Broken,1457,1,911,2605
,No issues,1604,2179,737,385
,No issues,1551,1144,762,387
,No issues,1519,102,762,387
,No issues,1544,827,762,387
,No issues,1597,1872,730,340
160454v.JPG,No issues,2215,2153,762,387
,Broken,2198,1127,745,369
,Broken,2143,401,911,2605
,No issues,2170,443,737,385
,No issues,2198,1476,762,387
,No issues,2230,2518,762,387
,No issues,2205,1793,762,387
,No issues,2184,795,730,340
161020.JPG,No issues,1914,1698,496,252
,No issues,1913,1488,504,288
,Flashover damage,1872,2517,470,282
,Flashover damage,1861,2371,501,248
,Flashover damage,1886,2013,510,295
,Flashover damage,1924,1031,539,400
,Flashover damage,1806,1002,683,2007
,No issues,1910,1856,496,252
,No issues,1849,2706,480,259
161020h.JPG,No issues,2101,1698,496,252
,No issues,2094,1488,504,288
,Flashover damage,2169,2517,470,282
,Flashover damage,2149,2371,501,248
,Flashover damage,2115,2013,510,295
,Flashover damage,2048,1031,539,400
,Flashover damage,2022,1002,683,2007
,No issues,2105,1856,496,252
,No issues,2182,2706,480,259
161020v.JPG,No issues,1914,1057,496,252
,No issues,1913,1231,504,288
,Flashover damage,1872,208,470,282
,Flashover damage,1861,388,501,248
,Flashover damage,1886,699,510,295
,Flashover damage,1924,1576,539,400
,Flashover damage,1806,0,683,2007
,No issues,1910,899,496,252
,No issues,1849,42,480,259
161338.JPG,No issues,2114,2522,619,346
,No issues,2131,1987,640,375
,Flashover damage,2156,1368,636,489
,Flashover damage,2063,1318,763,1691
,No issues,2116,2245,640,375
,No issues,2090,2765,619,243
,No issues,2140,1751,630,356
161338h.JPG,No issues,1778,2522,619,346
,No issues,1740,1987,640,375
,Flashover damage,1719,1368,636,489
,Flashover damage,1685,1318,763,1691
,No issues,1755,2245,640,375
,No issues,1802,2765,619,243
,No issues,1741,1751,630,356
161338d.JPG,No issues,1778,139,619,346
,No issues,1740,645,640,375
,Flashover damage,1719,1150,636,489
,Flashover damage,1685,0,763,1691
,No issues,1755,387,640,375
,No issues,1802,0,619,243
,No issues,1741,900,630,356
170046.JPG,No issues,1427,1301,578,287
,Broken,1444,740,558,286
,Broken,1416,0,654,2132
,No issues,1435,461,570,285
,No issues,1432,1017,578,287
,No issues,1426,1591,573,278
,No issues,1430,153,571,309
,No issues,1434,0,562,157
,No issues,1436,1866,555,270
170046h.JPG,No issues,1210,1301,578,287
,Broken,1213,740,558,286
,Broken,1145,0,654,2132
,No issues,1210,461,570,285
,No issues,1205,1017,578,287
,No issues,1216,1591,573,278
,No issues,1214,153,571,309
,No issues,1219,0,562,157
,No issues,1224,1866,555,270
170046v.JPG,No issues,1427,547,578,287
,Broken,1444,1109,558,286
,Broken,1416,3,654,2132
,No issues,1435,1389,570,285
,No issues,1432,831,578,287
,No issues,1426,266,573,278
,No issues,1430,1673,571,309
,No issues,1434,1978,562,157
,No issues,1436,0,555,270
170167.JPG,No issues,1373,1382,574,281
,No issues,1516,514,578,299
,Flashover damage,1325,1624,574,326
,Flashover damage,1417,1098,595,291
,Flashover damage,1462,786,602,321
,Flashover damage,1256,164,936,1973
,Flashover damage,1272,1899,582,237
170167h.JPG,No issues,1268,1382,574,281
,No issues,1121,514,578,299
,Flashover damage,1316,1624,574,326
,Flashover damage,1203,1098,595,291
,Flashover damage,1151,786,602,321
,Flashover damage,1023,164,936,1973
,Flashover damage,1361,1899,582,237
170167v.JPG,No issues,1373,472,574,281
,No issues,1516,1322,578,299
,Flashover damage,1325,185,574,326
,Flashover damage,1417,746,595,291
,Flashover damage,1462,1028,602,321
,Flashover damage,1256,0,936,1973
,Flashover damage,1272,0,582,237
170167d.JPG,No issues,1268,472,574,281
,No issues,1121,1322,578,299
,Flashover damage,1316,185,574,326
,Flashover damage,1203,746,595,291
,Flashover damage,1151,1028,602,321
,Flashover damage,1023,0,936,1973
,Flashover damage,1361,0,582,237
170315 (2).JPG,No issues,2122,1350,164,297
,No issues,2437,1376,158,300
,No issues,2756,1414,168,309
,No issues,2919,1431,194,302
,Flashover damage,2590,1392,171,309
,Flashover damage,1026,1207,2127,547
,No issues,2275,1365,174,300
,No issues,1965,1336,169,297
,No issues,1812,1314,167,295
,No issues,1651,1294,167,295
,No issues,1502,1279,167,295
,No issues,1345,1257,174,300
,No issues,1193,1248,174,300
,No issues,1040,1225,174,300
170315 (2)d.JPG,No issues,1393,808,164,297
,No issues,1084,779,158,300
,No issues,755,732,168,309
,No issues,566,722,194,302
,Flashover damage,918,754,171,309
,Flashover damage,526,701,2127,547
,No issues,1230,790,174,300
,No issues,1545,822,169,297
,No issues,1700,846,167,295
,No issues,1861,866,167,295
,No issues,2010,881,167,295
,No issues,2160,898,174,300
,No issues,2312,907,174,300
,No issues,2465,930,174,300
170651.JPG,No issues,1731,1386,382,189
,Broken,1724,1003,376,200
,Broken,1676,13,475,2155
,No issues,1709,815,387,207
,No issues,1730,1197,382,189
,No issues,1752,1931,380,209
,No issues,1732,1561,374,202
,No issues,1748,1749,374,202
,No issues,1702,628,387,207
,No issues,1701,439,387,207
,No issues,1696,241,389,201
,Flashover damage,1686,46,381,201
170651h.JPG,No issues,1566,1386,382,189
,Broken,1579,1003,376,200
,Broken,1528,13,475,2155
,No issues,1583,815,387,207
,No issues,1567,1197,382,189
,No issues,1547,1931,380,209
,No issues,1573,1561,374,202
,No issues,1557,1749,374,202
,No issues,1590,628,387,207
,No issues,1591,439,387,207
,No issues,1594,241,389,201
,Flashover damage,1612,46,381,201
170651d.JPG,No issues,1566,880,382,189
,Broken,1579,1252,376,200
,Broken,1528,287,475,2155
,No issues,1583,1433,387,207
,No issues,1567,1069,382,189
,No issues,1547,315,380,209
,No issues,1573,692,374,202
,No issues,1557,504,374,202
,No issues,1590,1620,387,207
,No issues,1591,1809,387,207
,No issues,1594,2013,389,201
,Flashover damage,1612,2208,381,201
100279v.JPG,No issues,1465,1274,416,212
,No issues,1456,1681,422,215
,Broken,1465,699,419,202
,Broken,1438,447,491,1684
,No issues,1466,1891,422,215
,No issues,1463,1480,422,215
,No issues,1461,1094,422,215
,No issues,1456,907,415,197
,No issues,1476,505,394,196
100279d.JPG,No issues,1334,1274,416,212
,No issues,1337,1681,422,215
,Broken,1331,699,419,202
,Broken,1286,447,491,1684
,No issues,1327,1891,422,215
,No issues,1330,1480,422,215
,No issues,1332,1094,422,215
,No issues,1344,907,415,197
,No issues,1345,505,394,196
130113h.jpg,No issues,1962,654,386,204
,Flashover damage,1964,19,392,252
,Flashover damage,1941,1,448,2704
,No issues,1969,455,386,204
,No issues,1971,259,386,204
,No issues,1967,1222,386,204
,No issues,1969,1032,386,204
,No issues,1969,849,386,204
,No issues,1972,1411,386,204
,No issues,1973,1593,375,186
,No issues,1976,1773,375,186
,No issues,1972,1951,375,186
,No issues,1977,2129,375,186
,No issues,1973,2301,375,186
,No issues,1972,2473,375,186
130113v.jpg,No issues,1939,1989,386,204
,Flashover damage,1931,2576,392,252
,Flashover damage,1898,142,448,2704
,No issues,1932,2188,386,204
,No issues,1930,2384,386,204
,No issues,1934,1421,386,204
,No issues,1932,1611,386,204
,No issues,1932,1794,386,204
,No issues,1929,1232,386,204
,No issues,1939,1068,375,186
,No issues,1936,888,375,186
,No issues,1940,710,375,186
,No issues,1935,532,375,186
,No issues,1939,360,375,186
,No issues,1940,188,375,186
130113d.jpg,No issues,1962,1989,386,204
,Flashover damage,1964,2576,392,252
,Flashover damage,1941,142,448,2704
,No issues,1969,2188,386,204
,No issues,1971,2384,386,204
,No issues,1967,1421,386,204
,No issues,1969,1611,386,204
,No issues,1969,1794,386,204
,No issues,1972,1232,386,204
,No issues,1973,1068,375,186
,No issues,1976,888,375,186
,No issues,1972,710,375,186
,No issues,1977,532,375,186
,No issues,1973,360,375,186
,No issues,1972,188,375,186
150447.JPG,No issues,2710,660,602,341
,Broken,2644,2472,592,289
,Broken,2651,2025,492,307
,Broken,2678,1349,614,344
,Broken,2557,271,791,3729
,No issues,2720,328,592,416
,No issues,2711,897,592,316
,No issues,2700,1140,592,316
,No issues,2665,1813,592,316
,No issues,2630,2885,592,316
,No issues,2622,3086,563,321
,No issues,2617,3293,563,321
,No issues,2600,3503,563,321
,No issues,2601,3719,559,281
150447h.JPG,No issues,2687,660,602,341
,Broken,2763,2472,592,289
,Broken,2856,2025,492,307
,Broken,2707,1349,614,344
,Broken,2651,271,791,3729
,No issues,2687,328,592,416
,No issues,2696,897,592,316
,No issues,2707,1140,592,316
,No issues,2742,1813,592,316
,No issues,2777,2885,592,316
,No issues,2814,3086,563,321
,No issues,2819,3293,563,321
,No issues,2836,3503,563,321
,No issues,2839,3719,559,281
150447v.JPG,No issues,2710,2998,602,341
,Broken,2644,1238,592,289
,Broken,2651,1667,492,307
,Broken,2678,2306,614,344
,Broken,2557,0,791,3729
,No issues,2720,3255,592,416
,No issues,2711,2786,592,316
,No issues,2700,2543,592,316
,No issues,2665,1870,592,316
,No issues,2630,798,592,316
,No issues,2622,592,563,321
,No issues,2617,385,563,321
,No issues,2600,175,563,321
,No issues,2601,0,559,281
150447d.JPG,No issues,2687,2998,602,341
,Broken,2763,1238,592,289
,Broken,2856,1667,492,307
,Broken,2707,2306,614,344
,Broken,2651,0,791,3729
,No issues,2687,3255,592,416
,No issues,2696,2786,592,316
,No issues,2707,2543,592,316
,No issues,2742,1870,592,316
,No issues,2777,798,592,316
,No issues,2814,592,563,321
,No issues,2819,385,563,321
,No issues,2836,175,563,321
,No issues,2839,0,559,281
150679 (2)h.JPG,No issues,1922,2951,1547,1040
,Flashover damage,1608,1527,1615,1239
,Flashover damage,1552,1377,2131,2624
,No issues,1761,2322,1580,1040
,No issues,2055,3564,1548,436
150679 (2)v.JPG,No issues,2530,8,1547,1040
,Flashover damage,2776,1233,1615,1239
,Flashover damage,2316,0,2131,2624
,No issues,2658,637,1580,1040
,No issues,2396,0,1548,436
150951h.jpg,No issues,1600,730,764,451
,No issues,1553,112,784,454
,Flashover damage,1680,2192,726,392
,Flashover damage,1647,1626,763,428
,Flashover damage,1618,1027,763,453
,Flashover damage,1517,5,951,2587
,No issues,1592,414,766,466
,No issues,1553,0,764,253
,No issues,1643,1371,754,388
,No issues,1660,1973,747,358
150951v.jpg,No issues,1507,1410,764,451
,No issues,1534,2025,784,454
,Flashover damage,1465,7,726,392
,Flashover damage,1461,537,763,428
,Flashover damage,1490,1111,763,453
,Flashover damage,1403,0,951,2587
,No issues,1513,1711,766,466
,No issues,1554,2338,764,253
,No issues,1474,832,754,388
,No issues,1464,260,747,358
150951d.jpg,No issues,1600,1410,764,451
,No issues,1553,2025,784,454
,Flashover damage,1680,7,726,392
,Flashover damage,1647,537,763,428
,Flashover damage,1618,1111,763,453
,Flashover damage,1517,0,951,2587
,No issues,1592,1711,766,466
,No issues,1553,2338,764,253
,No issues,1643,832,754,388
,No issues,1660,260,747,358
160538.JPG,No issues,1743,1941,771,451
,Flashover damage,1760,1035,783,569
,Flashover damage,1625,997,944,2012
,No issues,1744,1560,771,442
,No issues,1715,2362,771,423
,No issues,1684,2776,786,232
161036h.JPG,No issues,853,608,288,392
,No issues,701,530,296,398
,No issues,1129,772,291,371
,Flashover damage,1824,1112,299,387
,Flashover damage,1979,1181,289,373
,Flashover damage,2113,1251,283,374
,Flashover damage,0,92,2462,1558
,Flashover damage,2730,1,881,1253
,No issues,3211,0,368,164
,No issues,3124,73,364,296
,No issues,3028,276,364,296
,No issues,2936,473,364,296
,No issues,2839,672,364,296
,No issues,2749,871,359,273
,No issues,548,455,296,398
,No issues,401,372,296,398
,No issues,261,293,296,398
,No issues,110,217,296,398
,No issues,0,134,247,392
,No issues,1272,833,296,382
,No issues,1414,902,296,382
,No issues,1545,969,296,382
,No issues,1681,1040,296,382
161036v.JPG,No issues,3370,2007,288,392
,No issues,3514,2079,296,398
,No issues,3091,1864,291,371
,Flashover damage,2388,1508,299,387
,Flashover damage,2243,1453,289,373
,Flashover damage,2115,1382,283,374
,Flashover damage,2051,1357,2462,1558
,Flashover damage,900,1753,881,1253
,No issues,932,2843,368,164
,No issues,1023,2638,364,296
,No issues,1119,2435,364,296
,No issues,1211,2238,364,296
,No issues,1308,2039,364,296
,No issues,1403,1863,359,273
,No issues,3667,2154,296,398
,No issues,3814,2237,296,398
,No issues,3954,2316,296,398
,No issues,4105,2392,296,398
,No issues,4265,2481,247,392
,No issues,2943,1792,296,382
,No issues,2801,1723,296,382
,No issues,2670,1656,296,382
,No issues,2534,1585,296,382
161036d.JPG,No issues,853,2007,288,392
,No issues,701,2079,296,398
,No issues,1129,1864,291,371
,Flashover damage,1824,1508,299,387
,Flashover damage,1979,1453,289,373
,Flashover damage,2113,1382,283,374
,Flashover damage,0,1357,2462,1558
,Flashover damage,2730,1753,881,1253
,No issues,3211,2843,368,164
,No issues,3124,2638,364,296
,No issues,3028,2435,364,296
,No issues,2936,2238,364,296
,No issues,2839,2039,364,296
,No issues,2749,1863,359,273
,No issues,548,2154,296,398
,No issues,401,2237,296,398
,No issues,261,2316,296,398
,No issues,110,2392,296,398
,No issues,0,2481,247,392
,No issues,1272,1792,296,382
,No issues,1414,1723,296,382
,No issues,1545,1656,296,382
,No issues,1681,1585,296,382
161396h.JPG,No issues,1925,2379,813,438
,Flashover damage,1939,2002,791,432
,Flashover damage,1913,1120,825,594
,Flashover damage,1858,1056,948,1953
,No issues,1911,1679,833,337
,Flashover damage,1936,2719,799,289
161396d.JPG,No issues,1925,190,813,438
,Flashover damage,1939,573,791,432
,Flashover damage,1913,1293,825,594
,Flashover damage,1858,0,948,1953
,No issues,1911,991,833,337
,Flashover damage,1936,0,799,289
170061.JPG,No issues,1630,55,416,333
,No issues,2530,1624,425,329
,No issues,2405,1400,410,359
,Broken,1887,513,405,329
,Broken,2127,1020,433,279
,Broken,1521,5,1556,2122
,No issues,1772,270,390,345
,No issues,2014,742,407,328
,No issues,2270,1222,407,328
,No issues,2680,1853,392,283
170061h.JPG,No issues,1169,55,416,333
,No issues,260,1624,425,329
,No issues,400,1400,410,359
,Broken,923,513,405,329
,Broken,655,1020,433,279
,Broken,138,5,1556,2122
,No issues,1053,270,390,345
,No issues,794,742,407,328
,No issues,538,1222,407,328
,No issues,143,1853,392,283
170061d.JPG,No issues,1169,1747,416,333
,No issues,260,182,425,329
,No issues,400,376,410,359
,Broken,923,1293,405,329
,Broken,655,836,433,279
,Broken,138,8,1556,2122
,No issues,1053,1520,390,345
,No issues,794,1065,407,328
,No issues,538,585,407,328
,No issues,143,0,392,283
170172.JPG,No issues,1714,608,419,213
,Broken,1702,1006,419,231
,Broken,1675,1,481,1281
,No issues,1713,0,419,176
,No issues,1719,170,419,224
,No issues,1710,387,422,227
,No issues,1706,809,416,212
170172h.JPG,No issues,1082,608,419,213
,Broken,1094,1006,419,231
,Broken,1059,1,481,1281
,No issues,1083,0,419,176
,No issues,1077,170,419,224
,No issues,1083,387,422,227
,No issues,1093,809,416,212
170172v.JPG,No issues,1714,1314,419,213
,Broken,1702,898,419,231
,Broken,1675,853,481,1281
,No issues,1713,1959,419,176
,No issues,1719,1741,419,224
,No issues,1710,1521,422,227
,No issues,1706,1114,416,212
170172d.JPG,No issues,1082,1314,419,213
,Broken,1094,898,419,231
,Broken,1059,853,481,1281
,No issues,1083,1959,419,176
,No issues,1077,1741,419,224
,No issues,1083,1521,422,227
,No issues,1093,1114,416,212
170331 (2).JPG,No issues,1,1269,385,777
,No issues,1424,1343,336,410
,Flashover damage,2059,943,369,396
,Flashover damage,506,918,1934,1334
,No issues,49,1715,333,304
,No issues,0,1524,248,293
,No issues,1298,1412,336,410
,No issues,1167,1506,339,393
,No issues,1040,1574,317,393
,No issues,920,1640,317,393
,No issues,785,1708,317,393
,No issues,654,1777,317,393
,No issues,532,1839,317,393
,No issues,1551,1262,336,410
,No issues,1672,1187,336,410
170331 (2)v.JPG,No issues,1,409,385,777
,No issues,1424,702,336,410
,Flashover damage,2059,1116,369,396
,Flashover damage,506,203,1934,1334
,No issues,49,436,333,304
,No issues,0,638,248,293
,No issues,1298,633,336,410
,No issues,1167,556,339,393
,No issues,1040,488,317,393
,No issues,920,422,317,393
,No issues,785,354,317,393
,No issues,654,285,317,393
,No issues,532,223,317,393
,No issues,1551,783,336,410
,No issues,1672,858,336,410
170331 (2)d.JPG,No issues,3293,409,385,777
,No issues,1919,702,336,410
,Flashover damage,1251,1116,369,396
,Flashover damage,1239,203,1934,1334
,No issues,3297,436,333,304
,No issues,3431,638,248,293
,No issues,2045,633,336,410
,No issues,2173,556,339,393
,No issues,2322,488,317,393
,No issues,2442,422,317,393
,No issues,2577,354,317,393
,No issues,2708,285,317,393
,No issues,2830,223,317,393
,No issues,1792,783,336,410
,No issues,1671,858,336,410
170689 (2).JPG,No issues,1827,1692,286,172
,No issues,1824,732,287,163
,No issues,1818,400,293,163
,Broken,1832,1058,269,162
,Broken,1824,1208,292,165
,Broken,1831,1373,282,168
,Broken,1795,15,331,2161
,Flashover damage,1820,20,291,216
,No issues,1819,568,293,163
,No issues,1833,231,293,163
,No issues,1823,899,293,163
,No issues,1831,1548,290,148
,No issues,1822,1852,289,160
,No issues,1826,2012,289,154
170689 (2)h.JPG,No issues,1566,1692,286,172
,No issues,1568,732,287,163
,No issues,1568,400,293,163
,Broken,1578,1058,269,162
,Broken,1563,1208,292,165
,Broken,1566,1373,282,168
,Broken,1553,15,331,2161
,Flashover damage,1568,20,291,216
,No issues,1567,568,293,163
,No issues,1553,231,293,163
,No issues,1563,899,293,163
,No issues,1558,1548,290,148
,No issues,1568,1852,289,160
,No issues,1564,2012,289,154
170689 (2)v.JPG,No issues,1827,591,286,172
,No issues,1824,1560,287,163
,No issues,1818,1892,293,163
,Broken,1832,1235,269,162
,Broken,1824,1082,292,165
,Broken,1831,914,282,168
,Broken,1795,279,331,2161
,Flashover damage,1820,2219,291,216
,No issues,1819,1724,293,163
,No issues,1833,2061,293,163
,No issues,1823,1393,293,163
,No issues,1831,759,290,148
,No issues,1822,443,289,160
,No issues,1826,289,289,154
100288.JPG,No issues,951,1394,329,380
,No issues,1827,738,329,377
,Broken,1378,1056,350,390
,Broken,60,494,2421,1642
,No issues,1974,622,329,377
,No issues,2123,508,337,379
,No issues,1677,848,329,377
,No issues,1537,957,329,377
,No issues,1101,1298,329,377
,No issues,806,1504,329,377
,No issues,667,1611,329,377
,No issues,522,1713,329,377
,No issues,385,1824,323,312
,No issues,237,1932,225,204
100288d.JPG,No issues,1935,361,329,380
,No issues,1059,1020,329,377
,Broken,1487,689,350,390
,Broken,734,0,2421,1642
,No issues,912,1136,329,377
,No issues,755,1248,337,379
,No issues,1209,910,329,377
,No issues,1349,801,329,377
,No issues,1785,460,329,377
,No issues,2080,254,329,377
,No issues,2219,147,329,377
,No issues,2364,45,329,377
,No issues,2507,0,323,312
,No issues,2753,0,225,204
150458.JPG,No issues,1174,1450,346,648
,No issues,975,1457,384,609
,No issues,3476,1679,408,668
,Flashover damage,3031,1621,376,736
,Flashover damage,2607,1584,339,678
,Flashover damage,1992,1536,360,668
,Flashover damage,1578,1483,345,684
,Flashover damage,4203,1715,563,694
,Flashover damage,935,1414,3878,1052
,Flashover damage,1,118,887,1371
,No issues,0,390,464,472
,No issues,158,681,509,469
,No issues,353,984,509,469
,No issues,3737,1683,413,689
150458v.JPG,No issues,1174,1901,346,648
,No issues,975,1933,384,609
,No issues,3476,1652,408,668
,Flashover damage,3031,1642,376,736
,Flashover damage,2607,1737,339,678
,Flashover damage,1992,1795,360,668
,Flashover damage,1578,1832,345,684
,Flashover damage,4203,1590,563,694
,Flashover damage,935,1533,3878,1052
,Flashover damage,1,2510,887,1371
,No issues,0,3137,464,472
,No issues,158,2849,509,469
,No issues,353,2546,509,469
,No issues,3737,1627,413,689
150458d.JPG,No issues,4479,1901,346,648
,No issues,4640,1933,384,609
,No issues,2115,1652,408,668
,Flashover damage,2592,1642,376,736
,Flashover damage,3053,1737,339,678
,Flashover damage,3647,1795,360,668
,Flashover damage,4076,1832,345,684
,Flashover damage,1233,1590,563,694
,Flashover damage,1186,1533,3878,1052
,Flashover damage,5111,2510,887,1371
,No issues,5535,3137,464,472
,No issues,5332,2849,509,469
,No issues,5137,2546,509,469
,No issues,1849,1627,413,689
150696 (2).JPG,No issues,2789,2463,538,315
,Flashover damage,2897,658,607,506
,Flashover damage,2682,607,835,3394
,No issues,2729,3685,480,288
,No issues,2739,3526,497,292
,No issues,2746,3348,497,292
,No issues,2756,3195,497,292
,No issues,2775,3011,497,292
,No issues,2773,2839,518,290
,No issues,2786,2646,526,310
,No issues,2820,2269,526,310
,No issues,2830,2082,526,310
,No issues,2849,1889,526,310
,No issues,2844,1678,558,322
,No issues,2863,1467,558,322
,No issues,2885,1244,558,322
151368.jpg,No issues,1494,482,603,334
,Broken,1472,1143,596,290
,Broken,1418,3,710,2590
,No issues,1512,167,600,318
,No issues,1497,812,600,318
,No issues,1462,1428,600,318
,No issues,1466,1742,600,318
,No issues,1451,2048,600,318
,No issues,1434,2359,598,233
,No issues,1516,0,600,163
151368h.jpg,No issues,1774,482,603,334
,Broken,1803,1143,596,290
,Broken,1743,3,710,2590
,No issues,1759,167,600,318
,No issues,1774,812,600,318
,No issues,1809,1428,600,318
,No issues,1805,1742,600,318
,No issues,1820,2048,600,318
,No issues,1839,2359,598,233
,No issues,1755,0,600,163
151368d.jpg,No issues,1774,1775,603,334
,Broken,1803,1158,596,290
,Broken,1743,0,710,2590
,No issues,1759,2106,600,318
,No issues,1774,1461,600,318
,No issues,1809,845,600,318
,No issues,1805,531,600,318
,No issues,1820,225,600,318
,No issues,1839,0,598,233
,No issues,1755,2428,600,163
160623h.JPG,No issues,2201,2327,463,239
,No issues,2192,1602,469,279
,Flashover damage,2192,1958,481,268
,Flashover damage,2186,1250,486,271
,Flashover damage,2180,675,486,264
,Flashover damage,2177,281,489,276
,Flashover damage,2123,1,611,2922
,No issues,2196,2494,463,239
,No issues,2193,2656,463,239
,Flashover damage,2205,2143,460,253
,No issues,2193,1778,469,279
,No issues,2199,1424,469,279
,No issues,2191,1020,469,279
,No issues,2188,478,469,279
,No issues,2173,78,488,282
,No issues,2182,0,485,150
160623v.JPG,No issues,1847,441,463,239
,No issues,1850,1126,469,279
,Flashover damage,1838,781,481,268
,Flashover damage,1839,1486,486,271
,Flashover damage,1845,2068,486,264
,Flashover damage,1845,2450,489,276
,Flashover damage,1777,84,611,2922
,No issues,1852,274,463,239
,No issues,1855,112,463,239
,Flashover damage,1846,611,460,253
,No issues,1849,950,469,279
,No issues,1843,1304,469,279
,No issues,1851,1708,469,279
,No issues,1854,2250,469,279
,No issues,1850,2647,488,282
,No issues,1844,2857,485,150
160623d.JPG,No issues,2201,441,463,239
,No issues,2192,1126,469,279
,Flashover damage,2192,781,481,268
,Flashover damage,2186,1486,486,271
,Flashover damage,2180,2068,486,264
,Flashover damage,2177,2450,489,276
,Flashover damage,2123,84,611,2922
,No issues,2196,274,463,239
,No issues,2193,112,463,239
,Flashover damage,2205,611,460,253
,No issues,2193,950,469,279
,No issues,2199,1304,469,279
,No issues,2191,1708,469,279
,No issues,2188,2250,469,279
,No issues,2173,2647,488,282
,No issues,2182,2857,485,150
161061h.JPG,Flashover damage,2177,2159,306,179
,Flashover damage,2186,2287,313,193
,Flashover damage,2165,2025,314,190
